timestamp,index,temperature.gpu,power.draw,utilization.gpu,clocks.current.graphics,clocks.current.memory,pstate,clocks_event_reasons.active
2026/09/16 23:24:52.128, 0, 35, 32.48, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:52.133, 1, 52, 132.48, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:53.151, 0, 35, 32.48, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:53.154, 1, 52, 132.02, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:54.163, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:54.167, 1, 53, 133.72, 78, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:55.171, 0, 35, 32.50, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:55.173, 1, 53, 132.44, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:56.178, 0, 35, 32.48, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:56.181, 1, 53, 135.25, 84, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:57.185, 0, 35, 32.48, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:57.191, 1, 53, 130.34, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:58.205, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:58.209, 1, 53, 133.41, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:24:59.227, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:24:59.230, 1, 53, 139.54, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:25:00.238, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:25:00.241, 1, 54, 132.60, 86, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:25:01.259, 0, 35, 32.26, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:25:01.262, 1, 54, 131.79, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:25:02.271, 0, 35, 32.50, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:25:02.274, 1, 54, 134.01, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:25:03.278, 0, 35, 32.50, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:25:03.281, 1, 54, 133.21, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:25:04.286, 0, 35, 32.24, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:25:04.288, 1, 54, 135.07, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:25:05.296, 0, 35, 32.24, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:25:05.299, 1, 54, 134.49, 85, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:25:06.307, 0, 35, 32.37, 0, 1189, 715, P0, 0x0000000000000000
2026/09/16 23:25:06.311, 1, 53, 43.74, 0, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:25:07.329, 0, 35, 26.55, 0, 405, 715, P0, 0x0000000000000001
2026/09/16 23:25:07.332, 1, 52, 40.60, 0, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:25:08.339, 0, 35, 26.31, 0, 405, 715, P0, 0x0000000000000001
2026/09/16 23:25:08.344, 1, 51, 40.36, 0, 1328, 715, P0, 0x0000000000000000
2026/09/16 23:25:09.362, 0, 35, 26.31, 0, 405, 715, P0, 0x0000000000000001
2026/09/16 23:25:09.365, 1, 51, 30.19, 0, 594, 715, P0, 0x0000000000000001
2026/09/16 23:25:10.374, 0, 35, 26.31, 0, 405, 715, P0, 0x0000000000000001
2026/09/16 23:25:10.377, 1, 50, 30.19, 0, 594, 715, P0, 0x0000000000000001
